file_index,rms,peak,p2p,kurtosis,skew,crest,std,band_0_100,band_200_260,band_440_500,band_670_730,band_900_950,band_970_1010,band_HF
0,0.07417899856512623,0.454,0.8400000000000001,0.6287626426442556,0.08399343541253228,6.120330670078885,0.07347493104305192,0.0008532296602626,8.828120793889526e-05,9.544968143895397e-05,2.0148317316087296e-05,6.286358743736599e-05,0.0020238307233101612,0.007394872014461286
1,0.07538245681139528,0.388,0.757,0.648291081310854,0.052141907331332595,5.147086157799521,0.07533812128951385,0.00048133111895664243,0.00012335631895883873,0.00010415463657328494,3.2178700208962206e-05,8.4340111295979e-05,0.0017950251703531884,0.007982257923890053
2,0.07622977446919937,0.503,0.903,0.513475308823208,0.03280799811503518,6.5984715748652585,0.0761892927992494,0.0005466192405055057,8.233827330575842e-05,0.00011617321971967316,3.704275042896384e-05,0.0001003407139016981,0.001987687361292969,0.007996956332320969
3,0.07872367646602974,0.608,1.184,1.1579527230048088,0.04148596171613031,7.723216537716406,0.07869075089989153,0.0005029005087068132,7.13536065447328e-05,9.618835998488806e-05,2.3903746941669098e-05,0.00010512995422057859,0.0020508575482481414,0.008686932973344693
4,0.07847429073677968,0.391,0.782,0.6031769286310373,0.028223944368193307,4.982523528712338,0.07843746411081838,0.00047933043534397266,6.005575075363466e-05,0.00013588580552386268,3.503780619398774e-05,8.02979973835932e-05,0.0022199690290004466,0.008551076035060187
5,0.07831464139380723,0.439,0.8049999999999999,0.45609362146286525,0.026852972301411062,5.6055929284904895,0.07829782000144782,0.0004515832402546633,9.712754381640671e-05,0.00011780099315503494,3.384453180575766e-05,9.306060123001812e-05,0.0020819619705226377,0.008577349262165718
6,0.07863244325857172,0.408,0.796,0.4786149756059892,0.05859457915072469,5.188697986315403,0.07861603186545633,0.0004901816471729871,9.671560144466893e-05,0.0001086983350348794,3.5564624724155125e-05,0.0001155292300543933,0.002291651756049232,0.008466977892284969
7,0.07777288022464836,0.415,0.749,0.4719824550317826,0.0825818179550488,5.336050288942996,0.07774646967579023,0.00043876038626764223,8.682080912805897e-05,9.72560876442853e-05,3.616373964789456e-05,0.00010262712805481812,0.0021924201403422444,0.008357033113982124
8,0.07902942984262255,0.386,0.747,0.404514320897305,-0.008060293710742161,4.884256418954148,0.07900619543360511,0.0005124057432792557,8.876604229411275e-05,8.43016902160475e-05,3.263657113946099e-05,7.626120557912876e-05,0.0023651614769249793,0.00854943899449994
9,0.07571755989830314,0.378,0.722,0.3252033150483178,0.04632106694487995,4.992236946128514,0.07568852631669243,0.0004868095750921554,0.00010199599139639433,0.00011483728386209606,2.4123291773349286e-05,0.00010597103386602735,0.0021431022722404438,0.007683978553844522
10,0.07924111648011797,0.415,0.815,0.4552119318712826,0.03351974676189383,5.237180120990453,0.07922086801763584,0.0005268757615830258,5.0798250740280946e-05,0.00011178702482553771,3.1512040205059435e-05,0.00010928829154384022,0.0023391558552973086,0.008618881739652457
11,0.077638908086269,0.474,0.913,0.6415150749455001,0.019565298132388165,6.1051863257428405,0.07762333368719734,0.0004838645430659714,6.337799968667398e-05,0.00011100059485106569,3.0635784082910965e-05,0.0001243964857108667,0.0021769376019022606,0.00824519442020818
12,0.07740458087623109,0.4,0.778,0.3647260382142652,0.025770055100995153,5.1676528115878195,0.07736575740151559,0.0004756569419008376,8.163719001061761e-05,0.00011402102745947088,3.505297621831739e-05,8.812912161677917e-05,0.0023511258090297723,0.008164072249442007
13,0.07986468720103242,0.432,0.852,0.5982531546782224,0.036749791511127325,5.409149088722735,0.07985799357629145,0.0004683922623270882,5.631943318535129e-05,0.00010875641540068381,2.8306421881173425e-05,0.00011788090989496909,0.0022595122115939598,0.008919209638662056
14,0.07921698007145074,0.422,0.8049999999999999,0.5511103583412886,0.024887726210298073,5.32714071672569,0.07918146190235564,0.000528896407341256,8.938710046524137e-05,0.00011704662996700725,3.258031528130829e-05,9.409794457593929e-05,0.0023140791916525967,0.008599618008338725
15,0.07866177721938719,0.371,0.725,0.5530516614826189,-0.013483613994623068,4.716394837616838,0.07864707093207793,0.0004981032263302659,6.373910836961578e-05,0.00014455198936262658,3.658776348331194e-05,9.964269878111846e-05,0.0021852308866865612,0.008554993039296762
16,0.07845338360094803,0.439,0.8200000000000001,0.4799660990734953,0.01645553133519378,5.595679623295425,0.07842744893849181,0.0005292824670734453,9.01712408960587e-05,0.0001045779932367996,3.619773762652515e-05,9.413277353738862e-05,0.0023181758902844274,0.008352260642354893
17,0.07762277416041877,0.444,0.849,0.4477488811593342,0.020390510898382754,5.71997077915161,0.07760498435587541,0.0005487635827263473,7.255397895927497e-05,0.000103404867579608,3.239426005566695e-05,0.00011217602289048994,0.0022926178007468333,0.008123850840767523
18,0.07782555832949016,0.405,0.761,0.34144531637324205,0.003513831143354888,5.2039459618156165,0.07777670281156139,0.0005395724762184173,0.00010909494113286642,8.461170384755035e-05,3.367695611134679e-05,0.0001147127543033667,0.0024142789397515185,0.00803041933659806
19,0.07893316063389487,0.471,0.874,0.5964296522845256,-0.032123571823408366,5.967073866186725,0.07890076758853798,0.0005393582078662951,5.299195048054731e-05,0.00012082624872103231,3.680627467753055e-05,0.00011630748303619925,0.002275395245348529,0.008555617528603792
20,0.07902854786058722,0.415,0.8029999999999999,0.506380111063577,0.06155298503420971,5.251266931120162,0.07901527413866455,0.0005362575227077682,8.596703774867337e-05,9.683541763752919e-05,2.5444795087365503e-05,9.54651844102801e-05,0.002238726595700639,0.00861678397755135
21,0.07936328499916932,0.381,0.742,0.38440684339994036,0.03774414644161838,4.80070853920912,0.07934267114626233,0.000528593345156806,0.00015217983853834028,0.00010544952682555448,3.05369793350464e-05,0.00010237733505441855,0.0022384156018298994,0.008656585669099458
22,0.07948672040475141,0.344,0.6859999999999999,0.41497244255405574,0.01970775386945568,4.327766930677256,0.07946629829958578,0.0005835735457022913,5.389459626929439e-05,0.00010816812101934663,3.098483470833352e-05,0.00010054766039313277,0.0022922094843264235,0.00870643622654616
23,0.07975294340914242,0.393,0.759,0.5200740317916859,-0.03851889509533165,4.927717814487847,0.07972131548057863,0.0005411966058491133,4.838767635665461e-05,0.0001162972514840631,3.727619509303527e-05,8.151898132963383e-05,0.002144286178104218,0.008989756436797372
24,0.07938138784581765,0.437,0.85,0.4846810415588352,-0.036549177114067806,5.505068780647667,0.07935676530457542,0.0005778377080876131,0.0001569847238459604,0.0001476133942181234,3.930304824087791e-05,0.00011701011367819127,0.00231236818748897,0.008519010246544457
25,0.07759187944533484,0.405,0.7130000000000001,0.3099755507638151,0.026619772366221244,5.219618378752014,0.07756141544378374,0.0006425073083300848,9.19523956193842e-05,9.489300502344249e-05,2.8160561569454365e-05,0.000104615451449574,0.00210214235245434,0.008270942686266994
26,0.07774099563514575,0.388,0.732,0.36804211992333746,0.001337028961636272,4.990931706302962,0.07772622576182905,0.0005328172071289781,4.3332132796565985e-05,0.00010007730754061092,3.291537866350329e-05,8.723998388377844e-05,0.002321373683842916,0.008270057070242837
27,0.07751394405806931,0.4,0.769,0.4042083382464927,-0.0326706483190684,5.160361853025837,0.0774813044446991,0.0005541099539850486,0.00011828463790733123,9.341000897736356e-05,2.752053789301639e-05,0.0001217523942531308,0.0022753067731180305,0.008019562989635477
28,0.07827954401833694,0.391,0.735,0.34199171275367135,0.03369687604185461,4.99491923334931,0.07824409152481353,0.0006267558617716918,0.00012691398805339733,0.00010546672607904592,3.3210988280902564e-05,8.624173956701446e-05,0.0023547515519535696,0.008177603131975103
29,0.07886118143611597,0.488,0.871,0.5350200636292435,-0.006817488878259782,6.188088881081904,0.07882328465921586,0.0005851642044440745,5.746080919712712e-05,9.181818622933882e-05,2.9128950376821206e-05,9.884060181842108e-05,0.002286756154506688,0.008576322246728713
30,0.07858236746600665,0.403,0.803,0.48904471033501595,-0.002622713624016512,5.128376924622465,0.0785494350087652,0.0006021394057241581,7.423751991931253e-05,7.644691023918098e-05,2.4095609907547107e-05,9.040694412182289e-05,0.0023221214951625515,0.008433492930700816
31,0.08023091764702917,0.396,0.774,0.4867117699711172,0.023062207577248677,4.935753093804076,0.08021030375043676,0.0005859170764041159,0.00012167278467519874,9.154901544243394e-05,3.436339040012051e-05,9.38579382217844e-05,0.0022542255252170794,0.008981814443072755
32,0.07742107025313345,0.388,0.732,0.5086729705515918,-0.018266270678337724,5.01155562337741,0.07739824509206791,0.0005560578126953781,6.159995878517405e-05,9.86972099692253e-05,3.396881589983133e-05,7.975868947653209e-05,0.0021381758316524604,0.008249868458561873
33,0.07901612461528817,0.376,0.74,0.40449241574751493,0.02973078517796004,4.758522413316285,0.07899110019602928,0.0005457360480366872,4.9975369867779906e-05,7.188750780803576e-05,3.61063851357524e-05,8.751864788709403e-05,0.00213735575108017,0.008811283617137134
34,0.07823475415576188,0.359,0.6619999999999999,0.40668092875128137,-0.014541133659960107,4.588753474966616,0.07822305672439377,0.0005960031371062359,0.00015211925801418333,0.00012334905036430217,1.9949393429469018e-05,9.941894647689264e-05,0.002233359156398136,0.008244125439963062
35,0.07812870584960674,0.356,0.71,0.42187887878439767,-0.011723759566206875,4.556583858956053,0.07810817348945709,0.0005535197717008714,5.695173040097854e-05,0.00010678056446927065,2.7927336027620933e-05,8.881663176691873e-05,0.0021767835081395494,0.008468879987650267
36,0.07686189103169887,0.413,0.76,0.40962780617356787,-0.012802938401103161,5.373273991194154,0.07683498673524615,0.0005540061664113365,0.00011488202953775586,8.930037202143475e-05,2.638285457018341e-05,7.912190256384177e-05,0.002327969025498829,0.007922699579185484
37,0.07986518700725069,0.457,0.8089999999999999,0.5706517890996232,-0.009777100151057379,5.722142739774569,0.07984444085763252,0.0006098353608849419,7.290026592605278e-05,9.26798146331599e-05,3.6673803326955323e-05,9.171180669257265e-05,0.0022146178888063513,0.008891972072368491
38,0.07742917473155306,0.378,0.734,0.3569692841046228,0.04514825783681483,4.881880780799279,0.07739473796891001,0.0005002844539478124,6.138563079448103e-05,0.00014779800539464324,2.781172733115432e-05,9.543385430510033e-05,0.002382005737798469,0.008040514955268729
39,0.0784612560514543,0.498,0.896,0.6561008820895786,-0.0005041417219279513,6.347081668780171,0.07843592197972266,0.0005920208148587562,8.553094644216527e-05,0.00011008549714449064,3.201186087444566e-05,7.738066900884486e-05,0.0021623331015844204,0.008512087194758905
40,0.0785959604559929,0.371,0.725,0.5058926832599502,-0.03750214704176655,4.720344377024418,0.07855648477783131,0.0005966720272289985,9.545925219438031e-05,0.00011564538095903906,2.4805445532650412e-05,9.112319451385506e-05,0.002311307168009938,0.008369140357402695
41,0.07866142681365101,0.393,0.747,0.45311400755295494,-0.008567194109819449,4.996095493233567,0.0786407433781452,0.0005632523020659118,0.00010316078175781003,0.00013884243726804265,2.385896152108025e-05,0.00010175762317042787,0.0022643994559750115,0.008390907883462433
42,0.07762854039078106,0.449,0.779,0.4307640222326756,0.04469583003677712,5.783955201707464,0.07760924722037751,0.0005274325400763615,5.202283683209809e-05,8.922136927502738e-05,3.308286658984719e-05,0.00010063997216847078,0.00234017484983057,0.008139927716088754
43,0.07820874324224403,0.415,0.749,0.488396336752809,-0.006356188004271852,5.306312092361224,0.07818452198751644,0.0004665593028840509,8.711464870586666e-05,0.0001265397673249639,3.216432108392189e-05,9.869219799867735e-05,0.0021103966262351376,0.008512365991735242
44,0.07808856431612202,0.469,0.913,0.536781662751292,0.030868202418370138,6.006001059199459,0.07807192688424783,0.00044285388910142047,8.880823561190554e-05,0.00010809364535266952,3.174512963039874e-05,0.0001015536301611506,0.0022796012059702123,0.008435883907867663
45,0.07648226248359404,0.361,0.705,0.4576700058997081,0.018150122530682534,4.720048652754184,0.07646238946336069,0.00042514284275259746,0.00011877024196745215,7.530583885454381e-05,3.0783188179228195e-05,7.999385864191657e-05,0.0020574003207332763,0.008192915932760909
46,0.07891327536794347,0.364,0.6890000000000001,0.3564760255027597,0.06839076596299973,4.612658621736199,0.07888778445886611,0.0004412792842595919,7.182708083847326e-05,0.00019307699604323734,3.305929640816479e-05,9.100241780290266e-05,0.002349652295308452,0.008581397026593567
47,0.07732266473953077,0.396,0.752,0.49828610176171795,0.014921276074399704,5.121396182204076,0.07729310252096655,0.0004287028986367187,0.00010371503340962448,6.719704232256504e-05,2.905477486459163e-05,8.035692265000467e-05,0.0021507923919387136,0.008383362962585742
